book_id,book_title,book_genres
10964,"Outlander (Outlander, #1)",Young Adult|Fiction|Childrens|Childrens|Middle Grade
12296,The Scarlet Letter,Science Fiction|Fiction|Fantasy|Classics
9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Classics|Childrens|Historical|Historical Fiction|Fiction|Young Adult
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Fantasy|Fiction|Fantasy|Urban Fantasy|Fantasy|Mythology|Science Fiction
18007564,The Martian,Sequential Art|Graphic Novels|Sequential Art|Comics|Fiction|Science Fiction|Fantasy
5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Classics|Poetry|Fiction|Literature
18143977,All the Light We Cannot See,Plays|Classics|Humor|Fiction|Drama|Plays|Theatre
8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Classics|Fantasy|Fiction|Childrens
976,Deception Point,Fiction|Historical|Historical Fiction|Classics|Horror|Mystery
17333223,The Goldfinch,Classics|Fiction|Historical|Historical Fiction|War|Literature
29844228,Thirteen Reasons Why,Fantasy|Classics|Fiction|Young Adult|Childrens
2865,Girl with a Pearl Earring,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
4374400,"If I Stay (If I Stay, #1)",Classics|Fiction|Historical|Historical Fiction|Adventure|Literature|Cultural|France|Historical|Classics|Classic Literature|Novels|Romance
4989,The Red Tent,Horror|Fiction|Fantasy
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Fantasy|Young Adult|Fantasy|Mythology
5526,Dear John,Romance|Fiction|Womens Fiction|Chick Lit|Young Adult|Contemporary
1582996,"City of Ashes (The Mortal Instruments, #2)",Fiction|Classics|Historical|Historical Fiction|Romance|Magical Realism
8852,Macbeth,Young Adult|Science Fiction|Dystopia|Fiction|Fantasy
15241,"The Two Towers (The Lord of the Rings, #2)",Fiction|Historical|Historical Fiction|Romance|Classics|Cultural|Australia|Historical
42156,"Something Borrowed (Darcy & Rachel, #1)",Fantasy|Young Adult|Fiction
23772,Green Eggs and Ham,Childrens|Childrens|Picture Books|Classics|Holiday|Christmas|Fiction|Holiday|Fantasy|Poetry|Humor|Kids
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Classics|Fiction|Historical|Historical Fiction|Academic|School|Cultural|African American
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Fiction|Historical|Historical Fiction|Romance|Classics|Historical
2623,Great Expectations,Classics|Plays|Fiction|Drama|Humor|Literature|Plays|Theatre|Academic|School|Humor|Comedy|Romance
18512,"The Return of the King (The Lord of the Rings, #3)",Science Fiction|Fiction|Humor|Fantasy|Classics
49552,The Stranger,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Nonfiction|Autobiography|Memoir|Travel
15745753,Eleanor & Park,Classics|Fiction|Historical|Historical Fiction|Adventure
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",Classics|Fantasy|Fiction|Childrens
7735333,"Matched (Matched, #1)",Childrens|Classics
30165203,"American Gods (American Gods, #1)",Childrens|Childrens|Picture Books|Fiction
149267,The Stand,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
6400090,The Last Song,Classics|Fiction|Young Adult|Childrens
11125,Digital Fortress,Classics|Fiction|Historical|Historical Fiction|Cultural|China|Literature
6969,Emma,Classics|Fiction|Literature|Romance
15823480,Anna Karenina,Classics|Plays|Fiction|Drama|Fantasy
227463,A Clockwork Orange,Poetry|Philosophy|Classics|Fiction|Spirituality|Religion
1812457,The Shack,Fantasy|Fiction|Historical|Historical Fiction|Mythology|Arthurian|Science Fiction Fantasy
4556058,"The Last Olympian (Percy Jackson and the Olympians, #5)",Classics|Fiction|Literature|Cultural|Africa|Academic|School
830502,It,Fantasy|Fiction|Humor|Fantasy|Urban Fantasy
7144,Crime and Punishment,Fiction|Historical|Historical Fiction|Classics|Cultural|China|Contemporary
6514,The Bell Jar,Fantasy|Classics|Fiction
252577,"Angela's Ashes (Frank McCourt, #1)",Fantasy|Young Adult|Fantasy|Mythology
52036,Siddhartha,Fiction|Classics|Philosophy|Fantasy|Spirituality|Inspirational
168642,In Cold Blood,Classics|Fantasy|Fiction|Childrens
6304335,"Beautiful Creatures (Caster Chronicles, #1)",Fantasy|Fiction|Childrens|Classics|Young Adult
7171637,"Clockwork Angel (The Infernal Devices, #1)",Classics|Fiction|Adventure|Young Adult|Animals|Historical|Historical Fiction|Literature|Academic|School|Childrens|Novels
39988,Matilda,Fantasy|Young Adult|Romance|Fantasy|Paranormal
9361589,The Night Circus,Fantasy|Young Adult|Fantasy|Mythology|Fiction
37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Childrens|Picture Books|Childrens|Fiction
24770,"Uglies (Uglies, #1)",Classics|Fiction|Cultural|France|Literature
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",Fiction|Mystery|Thriller|Mystery|Crime
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",Young Adult|Fiction|Childrens|Fantasy|Classics
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Fantasy|Young Adult|Fantasy|Mythology|Fiction
472331,Watchmen,Young Adult|Fiction|Fantasy|Science Fiction|Dystopia|Science Fiction
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Romance|Fiction|Adult Fiction|Erotica|Adult|Erotica|Bdsm
3228917,Outliers: The Story of Success,Classics|Fiction|Literature|Historical|Historical Fiction
153747,"Moby-Dick or, The Whale",Historical|Historical Fiction|Fiction|Fantasy|Historical|Classics|Romance|Adventure|Historical Fiction|Prehistoric|Adult|Adult Fiction
2728527,The Guernsey Literary and Potato Peel Pie Society,Classics|Fiction|Poetry|Literature
5759,Fight Club,Classics|Fiction|Literature|Novels
301082,"Dead Until Dark (Sookie Stackhouse, #1)",Young Adult|Science Fiction|Dystopia|Science Fiction
11486,The Color Purple,Classics|Fiction|Adventure|Young Adult
12691,Marley and Me: Life and Love With the World's Worst Dog,Fiction|Classics|Contemporary|Literature|Novels
16299,And Then There Were None,Fantasy|Classics|Fiction|Young Adult|Childrens
6411961,"The Lost Symbol (Robert Langdon, #3)",Classics|Fiction|Historical|Historical Fiction|War|Literature
6339664,"Hush, Hush (Hush, Hush, #1)",Classics|Fiction|Literature|Historical|Historical Fiction
11505797,"Beautiful Disaster (Beautiful, #1)",Fantasy|Fiction|Adult
5326,A Christmas Carol,Young Adult|Contemporary|Fiction|Realistic Fiction
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Fantasy|Fiction|Fantasy|Epic Fantasy|Science Fiction Fantasy
10507293,"The Selection (The Selection, #1)",Historical|Historical Fiction|Fiction|Cultural|Japan|Historical|Classics
6853,"One for the Money (Stephanie Plum, #1)",Historical|Historical Fiction|Fiction|Historical|Romance
6493208,The Immortal Life of Henrietta Lacks,Fiction|Contemporary|Historical|Historical Fiction
23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",History|Nonfiction|Classics|World War II|Holocaust|War
345627,"Vampire Academy (Vampire Academy, #1)",Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
40102,Blink: The Power of Thinking Without Thinking,Young Adult|Fantasy|Paranormal|Angels|Fantasy|Paranormal|Romance
6867,Atonement,Fantasy|Young Adult|Fiction
485894,The Metamorphosis,Classics|Fiction|Childrens|Young Adult
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Fiction|Classics|Humor|Literature
9969571,Ready Player One,Classics|Fiction|Literature|Novels
3153910,The Art of Racing in the Rain,Historical|Historical Fiction|Fiction|Religion|Historical|Spirituality|Literature|Biblical Fiction|Biblical|Book Club|Adult
21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Young Adult|Fantasy|Paranormal|Fantasy|Paranormal|Vampires|Romance
20448515,"Bared to You (Crossfire, #1)",Science Fiction|Fiction|Thriller|Adventure|Fantasy
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",Historical|Historical Fiction|Fiction|Young Adult|Historical|World War II|Holocaust
3609760,Twilight: The Complete Illustrated Movie Companion,Childrens|Classics|Fiction|Childrens|Picture Books
60748,"A Child Called ""It"" (Dave Pelzer #1)",Fiction|Classics|Historical|Historical Fiction|Literature|Magical Realism
7869,"The Bourne Identity (Jason Bourne, #1)",Fantasy|Fiction|Classics
249747,"Artemis Fowl (Artemis Fowl, #1)",Mystery|Classics|Fiction|Mystery|Crime
6487308,"Fallen (Fallen, #1)",Fiction|Classics|Science Fiction|Humor|Literature
4406,East of Eden,Classics|Plays|Fiction|Historical|Historical Fiction|Drama|Academic|School
5886881,Dark Places,Historical|Historical Fiction|Fiction|Historical|Classics|Art
5359,The Client,Young Adult|Fantasy|Romance|Fantasy|Paranormal|Shapeshifters|Werewolves
228333,"The Nanny Diaries (Nanny, #1)",Poetry|Childrens|Classics
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,Nonfiction|Biography|History|Christian|Classics|Autobiography|Memoir
2156,Persuasion,Fiction|Contemporary|Womens Fiction|Chick Lit
556602,Sarah's Key,Classics|Fiction|Poetry|Fantasy|Mythology
43615,"The Gunslinger (The Dark Tower, #1)",Classics|Fiction|Literature|Philosophy|European Literature|German Literature
9712,Love in the Time of Cholera,Fantasy|Young Adult|Fantasy|Mythology
439288,Speak,Classics|Fiction|Childrens|Fantasy
17802724,The Husband's Secret,Fantasy|Fiction|Romance|Historical|Historical Fiction
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Fiction|Cultural|India|Historical|Historical Fiction|Contemporary
10592,Carrie,Fiction|Classics|Christian|Religion|Religion|Christianity|Fantasy
242006,Running with Scissors,Nonfiction|Animals|Autobiography|Memoir|Animals|Dogs|Biography
8908,World War Z: An Oral History of the Zombie War,Fantasy|Young Adult|Romance|Fantasy|Paranormal|Science Fiction|Steampunk
17212231,"Inferno (Robert Langdon, #4)",Horror|Fiction|Thriller|Mystery|Mystery|Crime
47281,Number the Stars,Fantasy|Young Adult|Fantasy|Paranormal|Romance|Fantasy|Urban Fantasy|Paranormal|Vampires|Paranormal|Angels|Fiction|Fantasy|Supernatural|Fantasy|Magic
13145,"Along Came a Spider (Alex Cross, #1)",Young Adult|Science Fiction|Dystopia|Science Fiction
10614,Misery,Young Adult|Romance|Science Fiction|Dystopia|Fantasy
18045891,Sharp Objects,Classics|Fiction|Horror|Romance
2839,Bridge to Terabithia,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance|Fiction|Fantasy|Supernatural|Fantasy|Urban Fantasy|Romance|Paranormal Romance|Young Adult|Teen
30183,"Marked (House of Night, #1)",Fantasy|Young Adult|Fiction|Romance|Fantasy|Fairy Tales|Childrens
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Fiction|Magical Realism|Cultural|Japan|Asian Literature|Japanese Literature|Fantasy
1622,A Midsummer Night's Dream,Nonfiction|Psychology|Philosophy|History|Autobiography|Memoir|Classics
4588,Extremely Loud and Incredibly Close,Classics|Fiction|Literature|Literature|American
11387515,Wonder,Fiction|Christian Fiction|Religion|Spirituality
233093,The Cat in the Hat,Fiction|Classics|Humor
11235712,"Cinder (The Lunar Chronicles, #1)",Fiction|Science Fiction|Dystopia|Science Fiction|Literature
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Young Adult|Paranormal|Vampires|Fantasy|Romance|Fantasy|Paranormal
6068551,"Shiver (The Wolves of Mercy Falls, #1)",Historical|Historical Fiction|Fiction|Classics|Historical
662,Atlas Shrugged,Fantasy|Fiction|Fantasy|Epic Fantasy|Science Fiction Fantasy
49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Sequential Art|Comics|Humor|Sequential Art|Graphic Novels|Fiction
13023,Alice in Wonderland,Science Fiction|Fiction|Classics|Science Fiction Fantasy
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",Young Adult|Fiction|Historical|Historical Fiction|Classics|Childrens
7631105,"The Scorch Trials (Maze Runner, #2)",Fantasy|Young Adult|Romance
4865,How to Win Friends and Influence People,Classics|Fiction|Literature|Historical|Historical Fiction|War
480479,Under the Tuscan Sun,
19486412,Big Little Lies,Historical|Historical Fiction|Fiction|Historical|Romance|War|World War II
24337,Ella Enchanted,Young Adult|Science Fiction|Dystopia|Fiction|Fantasy|Science Fiction
3876,The Sun Also Rises,Horror|Fiction|Fantasy|Thriller
14891,A Tree Grows in Brooklyn,Fiction|Magical Realism|Historical|Historical Fiction|Classics|Fantasy
13148,"Kiss the Girls (Alex Cross, #2)",Young Adult|Science Fiction|Dystopia|Romance
21853621,The Nightingale,Fiction|Mystery|Thriller|Mystery|Crime
6334,Never Let Me Go,Fiction|Contemporary|Literary Fiction|Literature|Mental Health|Mental Illness|Novels|Family|Adult Fiction|Adult|Health|Mental Health
366522,P.S. I Love You,Fiction|Contemporary|Womens Fiction|Chick Lit
17899948,Rebecca,Horror|Fantasy|Paranormal|Vampires|Fiction|Fantasy|Paranormal
18373,Flowers for Algernon,Romance|New Adult|Contemporary|Young Adult|Romance|Contemporary Romance
6952,Like Water for Chocolate,Young Adult|Contemporary|Fiction|Romance
1103,Snow Flower and the Secret Fan,Classics|Plays|Drama|Fiction|Academic|School
22034,The Godfather,Humor|Fiction|Historical|Historical Fiction|Fantasy|Religion|Humor|Comedy
49750,An Abundance of Katherines,Fantasy|Classics|Fiction|Historical|Historical Fiction|Mythology|Arthurian
29579,Foundation (Foundation #1),Historical|Historical Fiction|Northern Africa|Egypt|Fiction|Historical
15783514,The Ocean at the End of the Lane,Horror|Fiction|Thriller
30118,A Light in the Attic,Nonfiction|Biography|Adventure|Travel
29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",Classics|Plays|Drama|Fiction
11614718,"Delirium (Delirium, #1)",Classics|Fiction|Cultural|Russia|Literature|Russian Literature|Literature
32499,The Pelican Brief,Young Adult|Fiction|Contemporary|Realistic Fiction
17061,Coraline,Fantasy|Young Adult|Fiction|Romance|Fantasy|Magic
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Young Adult|Fantasy|Science Fiction|Science Fiction|Dystopia
70401,On the Road,Fantasy|Fiction|Fantasy|Urban Fantasy|Science Fiction Fantasy
16181775,"The Rosie Project (Don Tillman, #1)",Fiction|Historical|Historical Fiction|Fantasy|Mystery|Historical
3063499,The Lucky One,Classics|Fiction|Historical|Historical Fiction|Literature|Historical|Literature|American|Novels|Classics|Classic Literature|Literature|19th Century|Cultural|African American
2122,The Fountainhead,Classics|Fiction|Literature|Cultural|African American
